numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
140,"En cuanto al transporte de animales, indica la opción INCORRECTA",La normativa vigente no influye en el transporte de animales.,Los contenedores garantizarán la contención de los animales.,Los vehículos dispondrán de sistemas de anclaje cuando proceda.,El transporte de animales se realizará según la normativa vigente. Respuesta Correcta: A,A,La normativa vigente no influye en el transporte de animales.,"140. En cuanto al transporte de animales, indica la opción INCORRECTA:
A) La normativa vigente no influye en el transporte de animales.
B) Los contenedores garantizarán la contención de los animales.
C) Los vehículos dispondrán de sistemas de anclaje cuando proceda.
D) El transporte de animales se realizará según la normativa vigente.
Respuesta Correcta: A"
141,"Los criadores, suministradores y usuarios deberán registrar una serie de datos, ¿cuál de los siguientes no es uno de ellos?",Nombre y número de registro del centro.,Número de animales en el centro en el momento del abrir el registro.,Número de veces al día que se debe alimentar al animal.,Los animales utilizados en procedimientos indicando el proyecto. Respuesta Correcta: C,C,Número de veces al día que se debe alimentar al animal.,"141. Los criadores, suministradores y usuarios deberán registrar una serie de datos, ¿cuál de los siguientes no es uno
de ellos?
A) Nombre y número de registro del centro.
B) Número de animales en el centro en el momento del abrir el registro.
C) Número de veces al día que se debe alimentar al animal.
D) Los animales utilizados en procedimientos indicando el proyecto.
Respuesta Correcta: C"
142,¿Cuál de las siguientes son funciones del celador/a dentro del animalario?,Se encargarán del adecuado manejo de los animales según sus características.,Se encargarán de que los bebederos estén siempre abastecidos de agua suficiente.,Todas son funciones del celador/a en el animalario.,Lavarán las cubetas y jaulas de los animales con la periodicidad necesaria. Respuesta Correcta: C Página 35 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,C,Todas son funciones del celador/a en el animalario.,"142. ¿Cuál de las siguientes son funciones del celador/a dentro del animalario?
A) Se encargarán del adecuado manejo de los animales según sus características.
B) Se encargarán de que los bebederos estén siempre abastecidos de agua suficiente.
C) Todas son funciones del celador/a en el animalario.
D) Lavarán las cubetas y jaulas de los animales con la periodicidad necesaria.
Respuesta Correcta: C
Página 35 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
143,"¿Qué Real Decreto tiene por objeto establecer las normas aplicables para la protección de los animales utilizados, criados o suministrados con fines de experimentación y otros fines científicos incluyendo la educación y docencia?",Real Decreto 32/2007.,Real Decreto 63/2010.,Real Decreto 20/2012.,Real Decreto 53/2013 Respuesta Correcta: D,D,Real Decreto 53/2013 Respuesta Correcta: D,"143. ¿Qué Real Decreto tiene por objeto establecer las normas aplicables para la protección de los animales
utilizados, criados o suministrados con fines de experimentación y otros fines científicos incluyendo la educación
y docencia?
A) Real Decreto 32/2007.
B) Real Decreto 63/2010.
C) Real Decreto 20/2012.
D) Real Decreto 53/2013
Respuesta Correcta: D"
144,¿Cuál de los siguientes productos no se considera material fungible?,Guantes estériles.,Hojas de bisturí.,Almohadas.,Gasas estériles. Respuesta Correcta: C,C,Almohadas.,"144. ¿Cuál de los siguientes productos no se considera material fungible?
A) Guantes estériles.
B) Hojas de bisturí.
C) Almohadas.
D) Gasas estériles.
Respuesta Correcta: C"
145,"Dentro del almacén, NO es función de los celadores",Comprobación de los vales de suministros o pedidos internos.,"Notificación de la disminución o agotamiento de productos, a fin de tomar medidas para su reposición.",Colocación de los productos almacenables en sus ubicaciones respectivas.,Control del gasto del almacén de los diferentes servicios peticionarios. Respuesta Correcta: D,D,Control del gasto del almacén de los diferentes servicios peticionarios. Respuesta Correcta: D,"145. Dentro del almacén, NO es función de los celadores:
A) Comprobación de los vales de suministros o pedidos internos.
B) Notificación de la disminución o agotamiento de productos, a fin de tomar medidas para su reposición.
C) Colocación de los productos almacenables en sus ubicaciones respectivas.
D) Control del gasto del almacén de los diferentes servicios peticionarios.
Respuesta Correcta: D"
146,"En un hospital existen siempre dos almacenes básicos, ¿sabrías decir cuáles son?",Almacén general y almacén de farmacia.,Almacén de vestuario y almacén de lencería.,Almacén de impresos y almacén de equipos de oficina.,Almacén de impresos y almacén de menaje. Respuesta Correcta: A,A,Almacén general y almacén de farmacia.,"146. En un hospital existen siempre dos almacenes básicos, ¿sabrías decir cuáles son?
A) Almacén general y almacén de farmacia.
B) Almacén de vestuario y almacén de lencería.
C) Almacén de impresos y almacén de equipos de oficina.
D) Almacén de impresos y almacén de menaje.
Respuesta Correcta: A"
147,"Si clasificamos los inventarios según una concepción logística, cuál de los siguientes NO pertenecería a dicha clasificación: Página 36 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Inventarios cíclicos o de lotes.,Inventarios de productos ya elaborados.,Inventarios estaciónales o periódicos.,Inventarios de seguridad. Respuesta Correcta: B,B,Inventarios de productos ya elaborados.,"147. Si clasificamos los inventarios según una concepción logística, cuál de los siguientes NO pertenecería a dicha
clasificación:
Página 36 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Inventarios cíclicos o de lotes.
B) Inventarios de productos ya elaborados.
C) Inventarios estaciónales o periódicos.
D) Inventarios de seguridad.
Respuesta Correcta: B"
148,"El material y los productos de hostelería, menaje, comestibles y bebidas, ¿qué consideración tiene dentro de los grupos de artículos que consume un hospital?",Material sanitario.,Material no sanitario.,Material volátil.,Otro material. Respuesta Correcta: B,B,Material no sanitario.,"148. El material y los productos de hostelería, menaje, comestibles y bebidas, ¿qué consideración tiene dentro de los
grupos de artículos que consume un hospital?
A) Material sanitario.
B) Material no sanitario.
C) Material volátil.
D) Otro material.
Respuesta Correcta: B"
149,"En un almacén, ¿qué entendemos por stock?",Función de contar las existencias en un momento determinado.,"Información que permite conocer en todo momento las entradas, las salidas y las existencias.",Distribución y consumo de materiales por los servicios.,Estancia provisional de mercancía en el almacén. Respuesta Correcta: B,B,"Información que permite conocer en todo momento las entradas, las salidas y las existencias.","149. En un almacén, ¿qué entendemos por stock?
A) Función de contar las existencias en un momento determinado.
B) Información que permite conocer en todo momento las entradas, las salidas y las existencias.
C) Distribución y consumo de materiales por los servicios.
D) Estancia provisional de mercancía en el almacén.
Respuesta Correcta: B"
150,¿Qué es un código de barras?,"Conjunto de signos formado por una serie de líneas y números asociados a ellas, que se pone sobre los productos de consumo y se utiliza para la gestión informática de las existencias.",Conjunto de estanterías limitadas por una serie de barras sucesivas para impedir el deterioro de las existencias.,Conjunto de líneas que sirven para identificar el precio máximo de los artículos.,Número de líneas continuas que identifican el volumen de producto de un almacén. Respuesta Correcta: A,A,"Conjunto de signos formado por una serie de líneas y números asociados a ellas, que se pone sobre los productos de consumo y se utiliza para la gestión informática de las existencias.","150. ¿Qué es un código de barras?
A) Conjunto de signos formado por una serie de líneas y números asociados a ellas, que se pone sobre los
productos de consumo y se utiliza para la gestión informática de las existencias.
B) Conjunto de estanterías limitadas por una serie de barras sucesivas para impedir el deterioro de las
existencias.
C) Conjunto de líneas que sirven para identificar el precio máximo de los artículos.
D) Número de líneas continuas que identifican el volumen de producto de un almacén.
Respuesta Correcta: A"
151,"Dentro del servicio de almacén, ¿quién debe realizar la entrega de los pedidos programados a las personas que acuden a retirarlos? Página 37 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",El celador del servicio al que corresponde el pedido.,El encargado de suministro.,El auxiliar administrativo del almacén.,El celador de almacén. Respuesta Correcta: D,D,El celador de almacén. Respuesta Correcta: D,"151. Dentro del servicio de almacén, ¿quién debe realizar la entrega de los pedidos programados a las personas que
acuden a retirarlos?
Página 37 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) El celador del servicio al que corresponde el pedido.
B) El encargado de suministro.
C) El auxiliar administrativo del almacén.
D) El celador de almacén.
Respuesta Correcta: D"
152,A la hora de ubicar un muelle de carga para un almacén hospitalario debemos tener en cuenta que,Se puede ubicar en cualquier sitio que creamos conveniente.,Habrá que tener en cuenta las comodidades de los que van a trabajar en ese lugar.,Esté cerca de la sede de las ambulancias para aprovechar el mismo espacio.,"No este próximo a las zonas asistenciales, para que no influya en el tránsito de las ambulancias y evitar ruidos que perjudiquen a los enfermos. Respuesta Correcta: D",D,"No este próximo a las zonas asistenciales, para que no influya en el tránsito de las ambulancias y evitar ruidos que perjudiquen a los enfermos. Respuesta Correcta: D","152. A la hora de ubicar un muelle de carga para un almacén hospitalario debemos tener en cuenta que:
A) Se puede ubicar en cualquier sitio que creamos conveniente.
B) Habrá que tener en cuenta las comodidades de los que van a trabajar en ese lugar.
C) Esté cerca de la sede de las ambulancias para aprovechar el mismo espacio.
D) No este próximo a las zonas asistenciales, para que no influya en el tránsito de las ambulancias y evitar
ruidos que perjudiquen a los enfermos.
Respuesta Correcta: D"
153,La función de contar las existencias de un almacén en un momento determinado se denomina,Entradas.,Almacenaje.,Salidas.,Inventario. Respuesta Correcta: D,D,Inventario. Respuesta Correcta: D,"153. La función de contar las existencias de un almacén en un momento determinado se denomina:
A) Entradas.
B) Almacenaje.
C) Salidas.
D) Inventario.
Respuesta Correcta: D"
154,"El concepto importante en la gestión de almacenes que mide el tiempo transcurrido desde que un artículo entra en el almacén hasta que se produce su salida, recibe el nombre de",Índice cronológico.,Índice aleatorio.,Índice operativo.,Índice de rotación. Respuesta Correcta: D,D,Índice de rotación. Respuesta Correcta: D,"154. El concepto importante en la gestión de almacenes que mide el tiempo transcurrido desde que un artículo entra
en el almacén hasta que se produce su salida, recibe el nombre de:
A) Índice cronológico.
B) Índice aleatorio.
C) Índice operativo.
D) Índice de rotación.
Respuesta Correcta: D"
155,Entre las tareas propias del celador en almacén no figura,"Notificación de la disminución o agotamiento de productos, a fin de tomar medidas para su reposición. Página 38 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu","Entrega de productos no programados, en su caso, o urgentes.",Colocación de los productos almacenables en sus ubicaciones respectivas.,Realizar informes mensuales con la valoración económica de los movimientos del almacén Respuesta Correcta: D,D,Realizar informes mensuales con la valoración económica de los movimientos del almacén Respuesta Correcta: D,"155. Entre las tareas propias del celador en almacén no figura:
A) Notificación de la disminución o agotamiento de productos, a fin de tomar medidas para su reposición.
Página 38 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
B) Entrega de productos no programados, en su caso, o urgentes.
C) Colocación de los productos almacenables en sus ubicaciones respectivas.
D) Realizar informes mensuales con la valoración económica de los movimientos del almacén
Respuesta Correcta: D"
156,¿Cuál es el objetivo final de los almacenes hospitalarios?,Proporcionar puestos de trabajo a los celadores,La distribución de pedidos,Facilitar los suministros externos del hospital,Todas las respuestas anteriores son correctas. Respuesta Correcta: B,B,La distribución de pedidos,"156. ¿Cuál es el objetivo final de los almacenes hospitalarios?
A) Proporcionar puestos de trabajo a los celadores
B) La distribución de pedidos
C) Facilitar los suministros externos del hospital
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: B"
157,"En cuanto a la organización del almacén, el celador tendrá a su cargo, además de la vigilancia, el cierre de puertas de la zona de almacenaje","No, sólo si son puertas del área de hospitalización.","Si, cuando no haya guarda de seguridad.",Si.,"No, el cierre de puertas corresponde al personal de oficio. Respuesta Correcta: C",C,Si.,"157. En cuanto a la organización del almacén, el celador tendrá a su cargo, además de la vigilancia, el cierre de
puertas de la zona de almacenaje:
A) No, sólo si son puertas del área de hospitalización.
B) Si, cuando no haya guarda de seguridad.
C) Si.
D) No, el cierre de puertas corresponde al personal de oficio.
Respuesta Correcta: C"
158,"Con relación a las tareas del celador en la zona de acceso de almacén general, el celador deberá",Permitir el paso a todo el que desee entrar.,No dejar pasar a nadie para evitar robos de material.,Sólo dejará pasar a quien tenga que descargar mercancías.,No permitir el acceso a sus dependencias más que a las personas autorizadas para ello. Respuesta Correcta: D,D,No permitir el acceso a sus dependencias más que a las personas autorizadas para ello. Respuesta Correcta: D,"158. Con relación a las tareas del celador en la zona de acceso de almacén general, el celador deberá:
A) Permitir el paso a todo el que desee entrar.
B) No dejar pasar a nadie para evitar robos de material.
C) Sólo dejará pasar a quien tenga que descargar mercancías.
D) No permitir el acceso a sus dependencias más que a las personas autorizadas para ello.
Respuesta Correcta: D"
159,En el almacenamiento nos referimos a un stock como,La cantidad de productos que se encuentran en el almacén.,La cantidad de artículos consumidos.,Control de las existencias de cada artículo para evitar situaciones de desabastecimiento. Página 39 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,La cantidad de productos pedidos a suministros externos. Respuesta Correcta: A,A,La cantidad de productos que se encuentran en el almacén.,"159. En el almacenamiento nos referimos a un stock como:
A) La cantidad de productos que se encuentran en el almacén.
B) La cantidad de artículos consumidos.
C) Control de las existencias de cada artículo para evitar situaciones de desabastecimiento.
Página 39 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
D) La cantidad de productos pedidos a suministros externos.
Respuesta Correcta: A"
160,Señale cuál de las siguientes cuestiones se relaciona con el alojamiento de los productos en el almacén,"Descargar, abrir cajas y envoltorios.","Evitar pérdidas, robos y mermas.",Identificación clara y precisa de las estanterías.,Determinar la existencia real. Respuesta Correcta: C,C,Identificación clara y precisa de las estanterías.,"160. Señale cuál de las siguientes cuestiones se relaciona con el alojamiento de los productos en el almacén:
A) Descargar, abrir cajas y envoltorios.
B) Evitar pérdidas, robos y mermas.
C) Identificación clara y precisa de las estanterías.
D) Determinar la existencia real.
Respuesta Correcta: C"
161,¿Qué es material fungible?,Aquel que desaparece o deteriora con su uso.,Aquel que es estéril.,Las respuestas A y B son correctas.,Ninguna de las respuestas anteriores es correcta. Respuesta Correcta: A,A,Aquel que desaparece o deteriora con su uso.,"161. ¿Qué es material fungible?
A) Aquel que desaparece o deteriora con su uso.
B) Aquel que es estéril.
C) Las respuestas A y B son correctas.
D) Ninguna de las respuestas anteriores es correcta.
Respuesta Correcta: A"
162,El material que tras su uso requiere ser tratado para volver a ser utilizado nuevamente se llama,Consumible o fungible.,Desechable.,Reutilizable.,No consumible o inventariable. Respuesta Correcta: C,C,Reutilizable.,"162. El material que tras su uso requiere ser tratado para volver a ser utilizado nuevamente se llama:
A) Consumible o fungible.
B) Desechable.
C) Reutilizable.
D) No consumible o inventariable.
Respuesta Correcta: C"
163,¿De quién es función la carga y descarga de los productos que lleguen o se encuentren en un almacén de un centro sanitario?,Del auxiliar administrativo.,Del peón.,Del personal de mantenimiento.,Del celador del almacén. Página 40 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,D,Del celador del almacén. Página 40 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,"163. ¿De quién es función la carga y descarga de los productos que lleguen o se encuentren en un almacén de un
centro sanitario?
A) Del auxiliar administrativo.
B) Del peón.
C) Del personal de mantenimiento.
D) Del celador del almacén.
Página 40 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: D"
164,"La estancia provisional de las mercancías en el almacén, lo que implica colocación, conservación y control de las existencias, se denomina",Almacenaje.,Inventario.,Stockaje.,Todas son correctas. Respuesta Correcta: A,A,Almacenaje.,"164. La estancia provisional de las mercancías en el almacén, lo que implica colocación, conservación y control de las
existencias, se denomina:
A) Almacenaje.
B) Inventario.
C) Stockaje.
D) Todas son correctas.
Respuesta Correcta: A"
165,La documentación clínica tiene diversas utilidades como (señala la respuesta CORRECTA),Evaluación de la calidad de la asistencia sanitaria.,Obtención de datos epidemiológicos.,Material para la investigación y docencia.,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,"165. La documentación clínica tiene diversas utilidades como (señala la respuesta CORRECTA) :
A) Evaluación de la calidad de la asistencia sanitaria.
B) Obtención de datos epidemiológicos.
C) Material para la investigación y docencia.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: D"
166,El transporte de documentación,Debe realizarlo el auxiliar administrativo.,Es función de otro tipo de personal.,Es función del celador.,Es función del TCAE. Respuesta Correcta: C,C,Es función del celador.,"166. El transporte de documentación:
A) Debe realizarlo el auxiliar administrativo.
B) Es función de otro tipo de personal.
C) Es función del celador.
D) Es función del TCAE.
Respuesta Correcta: C"
167,No es un documento clínico de uso hospitalario,Hoja de urgencias.,Orden de tratamiento.,Hoja operatoria.,Impreso de citación. Respuesta Correcta: D Página 41 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,D,Impreso de citación. Respuesta Correcta: D Página 41 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"167. No es un documento clínico de uso hospitalario:
A) Hoja de urgencias.
B) Orden de tratamiento.
C) Hoja operatoria.
D) Impreso de citación.
Respuesta Correcta: D
Página 41 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
168,"""El conjunto de documentos que contiene los datos, valoraciones e informaciones de cualquier índole sobre la situación y la evolución clínica de un paciente a lo largo del proceso asistencial"", es lo que se conoce como",Documentación clínica.,Historia clínica.,Información clínica.,Informe de alta médica. Respuesta Correcta: B,B,Historia clínica.,"168. ""El conjunto de documentos que contiene los datos, valoraciones e informaciones de cualquier índole sobre la
situación y la evolución clínica de un paciente a lo largo del proceso asistencial"", es lo que se conoce como:
A) Documentación clínica.
B) Historia clínica.
C) Información clínica.
D) Informe de alta médica.
Respuesta Correcta: B"
169,"Cuando la información sanitaria generada se documenta después de la atención recibida en atención primaria, especializada o socio-sanitaria, hablamos de",Documentación clínica.,Documentación sanitaria.,Historias clínicas.,Todas las respuestas anteriores son correctas. Respuesta Correcta: B,B,Documentación sanitaria.,"169. Cuando la información sanitaria generada se documenta después de la atención recibida en atención primaria,
especializada o socio-sanitaria, hablamos de:
A) Documentación clínica.
B) Documentación sanitaria.
C) Historias clínicas.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: B"
170,"El documento acreditativo del derecho a la protección de la salud de los ciudadanos, es",La tarjeta sanitaria.,El DNI o NIF.,El pasaporte.,La cartilla de la seguridad social. Respuesta Correcta: A,A,La tarjeta sanitaria.,"170. El documento acreditativo del derecho a la protección de la salud de los ciudadanos, es:
A) La tarjeta sanitaria.
B) El DNI o NIF.
C) El pasaporte.
D) La cartilla de la seguridad social.
Respuesta Correcta: A"
171,"Son documentos clínicos de uso en atención primaria todos, excepto",Impreso de citación.,Hoja de ingreso.,Impreso de solicitud de pruebas complementarias.,Historia de enfermería. Respuesta Correcta: B,B,Hoja de ingreso.,"171. Son documentos clínicos de uso en atención primaria todos, excepto:
A) Impreso de citación.
B) Hoja de ingreso.
C) Impreso de solicitud de pruebas complementarias.
D) Historia de enfermería.
Respuesta Correcta: B"
172,"En cuanto a la conservación de la documentación clínica, señale cuál de las siguientes opciones es INCORRECTA: Página 42 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",Los profesionales sanitarios tienen el deber de cooperar en la creación y el mantenimiento de una documentación clínica ordenada y secuencial del proceso asistencial del paciente.,"La gestión de la historia clínica por los centros con pacientes hospitalizados, se realizará a través de la unidad de admisión y documentación clínica.","Los centros sanitarios tienen la obligación de conservar la documentación clínica en condiciones que garanticen su correcto mantenimiento y seguridad, como mínimo cinco años contados desde la fecha de alta del primer proceso asistencial del paciente.",La custodia de dichas historias clínicas estará bajo la responsabilidad de la dirección del centro sanitario. Respuesta Correcta: C,C,"Los centros sanitarios tienen la obligación de conservar la documentación clínica en condiciones que garanticen su correcto mantenimiento y seguridad, como mínimo cinco años contados desde la fecha de alta del primer proceso asistencial del paciente.","172. En cuanto a la conservación de la documentación clínica, señale cuál de las siguientes opciones es
INCORRECTA:
Página 42 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Los profesionales sanitarios tienen el deber de cooperar en la creación y el mantenimiento de una
documentación clínica ordenada y secuencial del proceso asistencial del paciente.
B) La gestión de la historia clínica por los centros con pacientes hospitalizados, se realizará a través de la
unidad de admisión y documentación clínica.
C) Los centros sanitarios tienen la obligación de conservar la documentación clínica en condiciones que
garanticen su correcto mantenimiento y seguridad, como mínimo cinco años contados desde la fecha de alta
del primer proceso asistencial del paciente.
D) La custodia de dichas historias clínicas estará bajo la responsabilidad de la dirección del centro sanitario.
Respuesta Correcta: C"
173,¿Cuál de los siguientes documentos forma parte de la documentación clínica de un paciente?,Receta médica.,Impreso de reclamaciones.,Hoja de interconsulta.,Petición de dietas. Respuesta Correcta: C,C,Hoja de interconsulta.,"173. ¿Cuál de los siguientes documentos forma parte de la documentación clínica de un paciente?
A) Receta médica.
B) Impreso de reclamaciones.
C) Hoja de interconsulta.
D) Petición de dietas.
Respuesta Correcta: C"
174,La historia clínica tiene como fin principal,Facilitar al profesional sanitario el desarrollo de sus funciones.,Contribuir a la investigación médica.,Recoger los resultados de las analíticas.,Facilitar la asistencia sanitaria. Respuesta Correcta: D,D,Facilitar la asistencia sanitaria. Respuesta Correcta: D,"174. La historia clínica tiene como fin principal:
A) Facilitar al profesional sanitario el desarrollo de sus funciones.
B) Contribuir a la investigación médica.
C) Recoger los resultados de las analíticas.
D) Facilitar la asistencia sanitaria.
Respuesta Correcta: D"
175,Los menores de edad no emancipados,No tienen derecho a acceder a su historia clínica.,A partir de 16 años pueden acceder a la historia clínica con autorización paterna.,A partir de 16 años pueden solicitar por sí mismos el acceso a su historia clínica.,Deben solicitar el acceso a la historia clínica a través de sus representantes legales. Respuesta Correcta: C,C,A partir de 16 años pueden solicitar por sí mismos el acceso a su historia clínica.,"175. Los menores de edad no emancipados:
A) No tienen derecho a acceder a su historia clínica.
B) A partir de 16 años pueden acceder a la historia clínica con autorización paterna.
C) A partir de 16 años pueden solicitar por sí mismos el acceso a su historia clínica.
D) Deben solicitar el acceso a la historia clínica a través de sus representantes legales.
Respuesta Correcta: C"
176,Una vez finalizado un episodio asistencial se facilitará al paciente: Página 43 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Un informe clínico.,La historia clínica.,Un consentimiento informado.,El alta médica. Respuesta Correcta: A,A,Un informe clínico.,"176. Una vez finalizado un episodio asistencial se facilitará al paciente:
Página 43 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Un informe clínico.
B) La historia clínica.
C) Un consentimiento informado.
D) El alta médica.
Respuesta Correcta: A"
177,La utilidad de la historia clínica es,Asistencial.,Información sanitaria.,Médico-legal.,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,D,Todas las respuestas anteriores son correctas. Respuesta Correcta: D,"177. La utilidad de la historia clínica es:
A) Asistencial.
B) Información sanitaria.
C) Médico-legal.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: D"
178,"La hoja de informe de alta, de la historia clínica de atención especializada se conservará",Como mínimo cuatro años a partir de la fecha del último episodio asistencial en que el paciente haya sido atendido en el hospital.,Como mínimo seis años a partir de la fecha del último episodio asistencial en que el paciente haya sido atendido en el hospital.,Como mínimo cinco años a partir de la fecha del último episodio asistencial en que el paciente haya sido atendido en el hospital.,Indefinidamente utilizando el soporte más adecuado que garantice esta correcta conservación. Respuesta Correcta: D,D,Indefinidamente utilizando el soporte más adecuado que garantice esta correcta conservación. Respuesta Correcta: D,"178. La hoja de informe de alta, de la historia clínica de atención especializada se conservará:
A) Como mínimo cuatro años a partir de la fecha del último episodio asistencial en que el paciente haya sido
atendido en el hospital.
B) Como mínimo seis años a partir de la fecha del último episodio asistencial en que el paciente haya sido
atendido en el hospital.
C) Como mínimo cinco años a partir de la fecha del último episodio asistencial en que el paciente haya sido
atendido en el hospital.
D) Indefinidamente utilizando el soporte más adecuado que garantice esta correcta conservación.
Respuesta Correcta: D"
179,¿Puede un celador acceder a los datos de la historia clínica de un paciente?,"No, en ningún caso.","El acceso a los datos la historia clínica de los pacientes, está limitado sólo al personal facultativo.","Si, a los datos relacionado con sus propias funciones.",Siempre que tenga autorización por el jefe de personal subalterno. Respuesta Correcta: C,C,"Si, a los datos relacionado con sus propias funciones.","179. ¿Puede un celador acceder a los datos de la historia clínica de un paciente?
A) No, en ningún caso.
B) El acceso a los datos la historia clínica de los pacientes, está limitado sólo al personal facultativo.
C) Si, a los datos relacionado con sus propias funciones.
D) Siempre que tenga autorización por el jefe de personal subalterno.
Respuesta Correcta: C"
180,El personal que accede a los datos de la historia clínica en el ejercicio de sus funciones queda sujeto al deber de: Página 44 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Confidencialidad.,Secreto.,Reserva.,Discreción. Respuesta Correcta: B,B,Secreto.,"180. El personal que accede a los datos de la historia clínica en el ejercicio de sus funciones queda sujeto al deber de:
Página 44 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) Confidencialidad.
B) Secreto.
C) Reserva.
D) Discreción.
Respuesta Correcta: B"
181,"En el traslado de historias clínicas y documentos, los celadores se ocuparán de",Establecer los mecanismos de custodia activa en el archivo.,Entregar las historias clínicas a personas no autorizadas.,Facilitar el acceso a la historia clínica una vez finalizado el proceso asistencial.,Del traslado de las historias clínicas y documentación complementaria desde la unidad hospitalaria correspondiente al archivo de historias clínicas. Respuesta Correcta: D,D,Del traslado de las historias clínicas y documentación complementaria desde la unidad hospitalaria correspondiente al archivo de historias clínicas. Respuesta Correcta: D,"181. En el traslado de historias clínicas y documentos, los celadores se ocuparán de:
A) Establecer los mecanismos de custodia activa en el archivo.
B) Entregar las historias clínicas a personas no autorizadas.
C) Facilitar el acceso a la historia clínica una vez finalizado el proceso asistencial.
D) Del traslado de las historias clínicas y documentación complementaria desde la
unidad hospitalaria correspondiente al archivo de historias clínicas.
Respuesta Correcta: D"
182,"NO es un documento de traslado ordinario, por parte de los celadores, el siguiente",Partes de quirófano.,Órdenes de hospitalización.,Expedición de la tarjeta sanitaria individual.,Partes de mantenimiento. Respuesta Correcta: C,C,Expedición de la tarjeta sanitaria individual.,"182. NO es un documento de traslado ordinario, por parte de los celadores, el siguiente:
A) Partes de quirófano.
B) Órdenes de hospitalización.
C) Expedición de la tarjeta sanitaria individual.
D) Partes de mantenimiento.
Respuesta Correcta: C"
183,Los celadores se ocuparán del traslado de las historias clínicas y documentación complementaria desde,La unidad hospitalaria correspondiente al archivo de historias clínicas.,El archivo central de historias clínicas hasta la unidad hospitalaria de un hospital privado.,La unidad hospitalaria de un hospital a otro.,Del archivo central a un centro de salud de área. Respuesta Correcta: A,A,La unidad hospitalaria correspondiente al archivo de historias clínicas.,"183. Los celadores se ocuparán del traslado de las historias clínicas y documentación complementaria desde:
A) La unidad hospitalaria correspondiente al archivo de historias clínicas.
B) El archivo central de historias clínicas hasta la unidad hospitalaria de un hospital privado.
C) La unidad hospitalaria de un hospital a otro.
D) Del archivo central a un centro de salud de área.
Respuesta Correcta: A"
